grid,month,channel,business_type,volume,fee
东城-一网格,2025-09,社会渠道,新入网,10,2687
东城-一网格,2025-09,社会渠道,宽带,24,2507
东城-一网格,2025-09,社会渠道,终端,12,16122
东城-一网格,2025-09,社会渠道,高价值套餐,16,6137
东城-一网格,2025-09,社会渠道,FTTR,4,1840
东城-一网格,2025-09,社会渠道,云电脑,8,1562
东城-一网格,2025-09,社会渠道,千兆+,12,4036
东城-一网格,2025-09,社会渠道,视联网,12,307
东城-一网格,2025-09,自开店,新入网,30,2518
东城-一网格,2025-09,自开店,宽带,21,317
东城-一网格,2025-09,自开店,终端,8,1536
东城-一网格,2025-09,自开店,高价值套餐,3,5394
东城-一网格,2025-09,自开店,FTTR,3,3374
东城-一网格,2025-09,自开店,云电脑,4,436
东城-一网格,2025-09,自开店,千兆+,12,1936
东城-一网格,2025-09,自开店,视联网,7,11526
东城-一网格,2025-10,社会渠道,新入网,33,555
东城-一网格,2025-10,社会渠道,宽带,12,1574
东城-一网格,2025-10,社会渠道,终端,5,12963
东城-一网格,2025-10,社会渠道,高价值套餐,12,6474
东城-一网格,2025-10,社会渠道,FTTR,4,3883
东城-一网格,2025-10,社会渠道,云电脑,9,505
东城-一网格,2025-10,社会渠道,千兆+,4,3136
东城-一网格,2025-10,社会渠道,视联网,2,5550
东城-一网格,2025-10,自开店,新入网,7,2341
东城-一网格,2025-10,自开店,宽带,15,326
东城-一网格,2025-10,自开店,终端,5,2143
东城-一网格,2025-10,自开店,高价值套餐,12,4079
东城-一网格,2025-10,自开店,FTTR,4,1519
东城-一网格,2025-10,自开店,云电脑,5,701
东城-一网格,2025-10,自开店,千兆+,0,7957
东城-一网格,2025-10,自开店,视联网,11,5672
东城-三网格,2025-09,社会渠道,新入网,30,4477
东城-三网格,2025-09,社会渠道,宽带,11,7525
东城-三网格,2025-09,社会渠道,终端,7,3248
东城-三网格,2025-09,社会渠道,高价值套餐,6,8923
东城-三网格,2025-09,社会渠道,FTTR,0,7836
东城-三网格,2025-09,社会渠道,云电脑,1,4051
东城-三网格,2025-09,社会渠道,千兆+,0,8059
东城-三网格,2025-09,社会渠道,视联网,5,8271
东城-三网格,2025-09,自开店,新入网,34,7908
东城-三网格,2025-09,自开店,宽带,21,8440
东城-三网格,2025-09,自开店,终端,6,208
东城-三网格,2025-09,自开店,高价值套餐,6,630
东城-三网格,2025-09,自开店,FTTR,4,2463
东城-三网格,2025-09,自开店,云电脑,2,2637
东城-三网格,2025-09,自开店,千兆+,5,1486
东城-三网格,2025-09,自开店,视联网,8,2706
东城-三网格,2025-10,社会渠道,新入网,34,125
东城-三网格,2025-10,社会渠道,宽带,3,13200
东城-三网格,2025-10,社会渠道,终端,3,3833
东城-三网格,2025-10,社会渠道,高价值套餐,13,3929
东城-三网格,2025-10,社会渠道,FTTR,2,6040
东城-三网格,2025-10,社会渠道,云电脑,8,10000
东城-三网格,2025-10,社会渠道,千兆+,7,7915
东城-三网格,2025-10,社会渠道,视联网,9,9176
东城-三网格,2025-10,自开店,新入网,20,2807
东城-三网格,2025-10,自开店,宽带,16,3646
东城-三网格,2025-10,自开店,终端,15,12895
东城-三网格,2025-10,自开店,高价值套餐,12,1198
东城-三网格,2025-10,自开店,FTTR,3,837
东城-三网格,2025-10,自开店,云电脑,10,316
东城-三网格,2025-10,自开店,千兆+,9,3480
东城-三网格,2025-10,自开店,视联网,14,4487
东城-二网格,2025-09,社会渠道,新入网,26,7820
东城-二网格,2025-09,社会渠道,宽带,15,2171
东城-二网格,2025-09,社会渠道,终端,14,6133
东城-二网格,2025-09,社会渠道,高价值套餐,4,8326
东城-二网格,2025-09,社会渠道,FTTR,10,17919
东城-二网格,2025-09,社会渠道,云电脑,6,14971
东城-二网格,2025-09,社会渠道,千兆+,9,853
东城-二网格,2025-09,社会渠道,视联网,5,2118
东城-二网格,2025-09,自开店,新入网,32,9123
东城-二网格,2025-09,自开店,宽带,11,404
东城-二网格,2025-09,自开店,终端,11,4868
东城-二网格,2025-09,自开店,高价值套餐,8,7540
东城-二网格,2025-09,自开店,FTTR,8,3650
东城-二网格,2025-09,自开店,云电脑,1,423
东城-二网格,2025-09,自开店,千兆+,3,1449
东城-二网格,2025-09,自开店,视联网,11,5333
东城-二网格,2025-10,社会渠道,新入网,12,4731
东城-二网格,2025-10,社会渠道,宽带,20,5234
东城-二网格,2025-10,社会渠道,终端,4,3591
东城-二网格,2025-10,社会渠道,高价值套餐,10,3567
东城-二网格,2025-10,社会渠道,FTTR,3,11529
东城-二网格,2025-10,社会渠道,云电脑,4,14321
东城-二网格,2025-10,社会渠道,千兆+,3,4065
东城-二网格,2025-10,社会渠道,视联网,4,7181
东城-二网格,2025-10,自开店,新入网,25,2204
东城-二网格,2025-10,自开店,宽带,20,2574
东城-二网格,2025-10,自开店,终端,7,12204
东城-二网格,2025-10,自开店,高价值套餐,4,1758
东城-二网格,2025-10,自开店,FTTR,6,1180
东城-二网格,2025-10,自开店,云电脑,6,6643
东城-二网格,2025-10,自开店,千兆+,2,8255
东城-二网格,2025-10,自开店,视联网,1,2792
东城-五网格,2025-09,社会渠道,新入网,28,5378
东城-五网格,2025-09,社会渠道,宽带,9,1963
东城-五网格,2025-09,社会渠道,终端,16,1850
东城-五网格,2025-09,社会渠道,高价值套餐,9,3934
东城-五网格,2025-09,社会渠道,FTTR,0,17685
东城-五网格,2025-09,社会渠道,云电脑,1,3001
东城-五网格,2025-09,社会渠道,千兆+,2,5684
东城-五网格,2025-09,社会渠道,视联网,3,14952
东城-五网格,2025-09,自开店,新入网,3,2812
东城-五网格,2025-09,自开店,宽带,19,2995
